"","c..Ifitm1....Fcgbp....Kng2....Krt6a....Anxa8....Sprr2f....Fxyd5..."
"1152","Dnah7b"
"1153","Mdp1"
"1154","Gm7467"
"1155","Gm20036"
"1156","Gm20496"
"1157","Cldn22"
"1158","Zfp935"
"1159","BC048679"
"1160","D230017M19Rik"
"1161","Lilra6"
"1162","Glud1"
"1163","Hist2h3c2"
"1164","Mir670hg"
"1165","4933431K14Rik"
"1166","Fam134c"
"1167","Xlr4a"
"1168","Pbld2"
"1169","Gm6644"
"1170","Ppp1r2-ps4"
"1171","Tnfrsf10b"
"1172","Dynlt1-ps1"
"1173","AI427809"
"1174","Gm29585"
"1175","Rps27a"
"1176","Obp2b"
"1177","Gm13655"
"1178","4930427A07Rik"
"1179","Shfm1"
"1180","Neat1"
"1181","4933439K11Rik"
"1182","Gm15454"
"1183","Plet1os"
"1184","Terc"
"1185","Tbl1x"
"1186","RP23-112I20.5"
"1187","Ang2"
"1188","B430306N03Rik"
"1189","1700020I14Rik"
"1190","Sap18"
"1191","Stfa3"
"1192","Gmcl1"
"1193","Rps19-ps6"
"1194","Gm10499"
"1195","1700020D05Rik"
"1196","Gm9429"
"1197","Rps19-ps3"
"1198","Zfp53"
"1199","Xntrpc"
"1200","Gm17296"
"1201","Gm12335"
"1202","Tchp"
"1203","Siglecg"
"1204","Skint1"
"1205","Gm10125"
"1206","Kifc5b"
"1207","Gm11266"
"1208","Gm44033"
"1209","Gm12655"
"1210","Gm26526"
"1211","RP24-306C18.9"
"1212","Gm26902"
"1213","Gm15344"
"1214","Gm10221"
"1215","Gm13910"
"1216","Gm20186"
"1217","2810474O19Rik"
"1218","0610009B22Rik"
"1219","Gm5815"
"1220","Fam60a"
"1221","Rpl27-ps1"
"1222","Stard9"
"1223","Hist1h4n"
"1224","Plp2"
"1225","Abhd11os"
"1226","Gm16016"
"1227","6820431F20Rik"
"1228","March2"
"1229","Gm2564"
"1230","Trp53rka"
"1231","Gm26549"
"1232","4732496C06Rik"
"1233","Gm4366"
"1234","Sirpb1a"
"1235","Gm2058"
"1236","Gm17018"
"1237","2810405F17Rik"
"1238","Gm4524"
"1239","Sprr2h"
"1240","Bex1"
"1241","Setd1a"
"1242","Ccl5"
"1243","Gm16201"
"1244","Zfp942"
"1245","Gm15764"
"1246","Zfp729b"
"1247","Gm15445"
"1248","6030442K20Rik"
"1249","Gm13431"
"1250","Cd300c2"
"1251","Gm23303"
"1252","Gm13563"
"1253","Rpl29"
"1254","Hist1h3d"
"1255","Pitx2"
"1256","Gm16091"
"1257","Hist1h1b"
