genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,18996-L,18996-S,18999-L,18999-S,19151-L,19151-S,19152-L,19152-S,19153-L,19153-S,19313-L,19313-S,FT1,FT2,FT3,FT4,13604T,2611T,14576T,2942T,14109T,14104T,13179T,14397T,14474T,13085T,13576T,2163T
Gbp6,33.50285197,3.723059182,1.031357151,3.609864127,0.000306357,0.057034329,1.804071846,5.912401699,0.334884834,73.16759636,0.302147035,6.524360096,0,0.294792967,0.603836925,14.18453439,2.088888281,8.451307852,3.64,7.58,5.29,6.07,0.24,0.73,35.64,0.14,1.2,1.06,0.63,4.04,1.52,0.14,1.63,1.88
Agap3,113.7037467,5.840788595,1.627047918,3.589807362,0.000330922,0.060674126,0,14.71560157,0,2.534491322,18.73311616,0,0.29567559,207.2394555,54.22807333,63.75350365,0,0.722334004,87.85,119.34,109.52,105.62,56.51,54.98,49.02,62.27,145.29,38.73,58.13,42.27,102.31,67.93,71.97,56.47
Cemip,70.96467772,-3.388293864,0.947044283,-3.577756527,0.000346556,0.062449632,26.42057881,2.616106947,22.67724071,1.584057076,2.417176278,0,0,0,0.586249441,0.248068108,265.127946,10.36308518,9.12,1.35,6.29,1.22,0.73,0.33,1.65,0.86,1.62,0.47,0.98,0.51,1.13,4.59,0.34,2.91
Sntn,97.82204918,-3.371408135,0.943189003,-3.574477782,0.000350928,0.062449632,32.29181855,1.635066842,99.67438357,0.950434246,70.09811207,0.511313487,31.93296367,25.05740216,51.29682612,6.945907013,3.311940649,3.130114019,128.27,111.65,109.84,133.2,0.05,0.04,0.67,0,0.18,0,0.09,0,0,0.03,0.04,0.08
Slc38a5,227.1838408,-4.471260902,1.252558945,-3.569700988,0.000357389,0.062677731,1.718671995,0.660567004,0.266325734,0,80.06896421,2.106611567,409.1854484,0,1.758748324,0,30.27350321,2.167002013,5.13,0.64,3.63,0.51,1.12,0.38,0.02,0.12,53.24,0.3,5.41,0.06,0.95,0.37,0.52,1.16
Kcnk9,53.93767166,-2.950190251,0.83272658,-3.542807835,0.000395891,0.066844797,59.10470293,5.006574669,10.53964315,0.288298388,7.009811207,0.20963853,0.594307935,0.294792967,14.97574198,1.736476753,86.54574051,55.24892022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0
Nbl1,43.55631488,5.884585447,1.6615654,3.541591229,0.000397721,0.066844797,0.266874533,22.23690905,0,24.07766756,15.40949877,0,0,22.40426546,26.67434958,31.00851345,0,1.444668009,163.84,129.95,171.38,118.98,76.93,138.86,21.21,98.75,37.37,77.57,33.59,8.98,108.74,15.15,9.92,97.77
Sspo,59.6195363,4.395475793,1.242557176,3.537443491,0.000404021,0.066973338,1.067498134,26.8150962,0,80.15328806,0,6.391418589,0.887026769,46.28249575,22.27747877,5.457498367,7.570150055,7.704896048,5.42,5.01,4.78,3.14,1.61,1.1,0.14,0.42,0.46,0.52,0.06,0.12,0.22,0.33,0.29,0.12
Cmpk2,32.23393138,-2.590741648,0.734033565,-3.529459375,0.00041641,0.068094229,18.94809188,4.251173788,10.02017613,2.534491322,17.82667505,0.766970231,4.730809433,1.7687578,28.13997319,5.705566475,23.42015173,1.68544601,12.58,11.89,12.35,12.95,0.72,0.76,14.95,2.93,41.59,3.73,3.46,19.11,2.62,0.4,5.22,3.74
Glt1d1,77.15700628,-3.268304525,0.92776188,-3.522783803,0.00042704,0.068901409,30.86137105,25.50704273,11.49683366,0.316811415,136.6792326,7.664589172,8.574592097,0.294792967,0.586249441,0,8.752986001,2.648558016,0,0.21,0.02,0.06,0.02,0.88,1.34,0,2.5,0.11,0.11,0.11,0.21,0.02,0,0.17
