genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Psmb2,38.38666264,6.631620495,1.918618012,3.456456915,0.000547327,0.081767906
Mrps12,160.8461112,3.252203338,0.942189991,3.451748977,0.000556966,0.082044724
C1qtnf5,35.46498852,4.410569845,1.27926735,3.447731114,0.000565317,0.082044724
Ganab,60.71250049,5.584476141,1.620694758,3.445729748,0.00056952,0.082044724
Ehd3,47.75636269,-3.766805243,1.098315356,-3.429620847,0.000604425,0.086048817
Pgap4,54.95841359,4.041496878,1.180396323,3.423847398,0.000617413,0.086875726
Tor1a,37.74478985,-6.590318127,1.928876611,-3.416661329,0.000633941,0.08734989
Catip,74.33090593,3.161616419,0.926491166,3.412462562,0.000643788,0.08734989
Abi3bp,41.19122196,-2.936653112,0.860933239,-3.411011423,0.000647224,0.08734989
Plec,1178.265415,2.148644082,0.630723037,3.406636441,0.000657687,0.08734989
C1d,53.61594336,-3.835803864,1.127037619,-3.40343907,0.000665433,0.08734989
Sharpin,45.6026993,3.958222669,1.164045306,3.400402586,0.000672867,0.08734989
Rnf216,84.43130267,2.716131503,0.800757445,3.391952855,0.000693964,0.08734989
Myh7,309.3938857,2.036532369,0.600704489,3.390239973,0.000698315,0.08734989
4931428F04Rik,32.81615942,5.420146141,1.598805581,3.390122105,0.000698615,0.08734989
Ndufs5,42.96604761,5.04154385,1.487736283,3.388734891,0.000702159,0.08734989
Mettl23,46.9360989,3.099675364,0.915186005,3.386934837,0.000706782,0.08734989
Edn1,361.2326352,2.63776289,0.778860801,3.386693598,0.000707403,0.08734989
Gdpd2,36.83859879,6.295045507,1.860349745,3.383796796,0.000714909,0.087384979
Kcnj3,25.18176838,-4.180218568,1.238153743,-3.376170845,0.000735023,0.088307197
Mmp3,135.8155067,-3.110869296,0.921626151,-3.375413438,0.000737049,0.088307197
Rai2,90.57666771,-3.476898833,1.031467112,-3.370828593,0.000749425,0.088891483
Derl3,89.26044626,6.067399822,1.801379516,3.368196301,0.000756617,0.088891483
Adgrg1,66.58413604,5.11279186,1.519672003,3.364404852,0.000767089,0.089255264
Gpsm1,15.70827393,-6.050135218,1.799735644,-3.361679944,0.000774699,0.08928217
Prdm1,70.34466697,-2.947033307,0.877780022,-3.357371132,0.000786874,0.089343575
Myrfl,53.88270965,-5.128088242,1.52791031,-3.356275699,0.000789998,0.089343575
