"";"PC1";"PC2";"PC3";"PC4";"PC5";"PC6";"PC7";"PC8";"PC9";"PC10";"PC11";"PC12";"PC13";"PC14";"PC15";"PC16"
"Kcnk7";-0,0898023844119149;0,094104693800137;0,0396748669213454;-0,00599972105680647;0,0740479509770138;-0,0861195467319243;-0,0949637432750962;-0,0336425822667689;0,0589283369071766;-0,0224063085827393;0,0668458458391851;-0,136463573001254;-0,0407061705105776;-0,0969420601142783;0,0904168005812486;-0,018799477847639
"Mmp19";0,00708525516742615;0,13961679912892;0,0106539962666914;-0,102968739758747;-0,213833597136948;0,109591555181258;0,0602120832759692;-0,0064055609582469;0,0129551126348125;0,0554337901451673;-0,182123177194888;-0,138011078124546;0,00770560085048235;0,102189019111461;0,0337408040487576;0,000968703974879187
"Phax";0,0258360746375742;-0,0129771500358059;0,000918544930089398;0,00227120480483526;-0,0616646449756008;-0,0033983612513933;0,0204437181162923;0,0158248138413841;0,110171062619816;0,00210837079313295;0,00473803154355782;0,0416387385809766;0,00822451683403503;0,0578880779688895;0,0166797835554736;-0,0745754246731572
"Gm14418";-0,00909095650947161;-0,0246110434460797;0,0197459948698246;0,0835121250847778;-0,192217599804818;-0,117206972272632;-0,0122604945970216;0,0282824371731368;0,0245302408281764;0,156237280769198;-0,142986984656198;-0,157460050980095;0,0591590261452849;-0,095146708051155;0,0621356952406515;0,0100217889733515
"Gm10571";0,00530908056670734;-0,0152585820027204;0,0140738266535055;-0,00127999941490049;0,0198615272136408;-0,0233309258243669;0,00893510100140812;-0,00863123796385292;-0,00245765012939709;-0,00661869892641908;0,000854354676760452;0,00824684110554382;0,0224097396978536;0,0134741185116969;0,00979670898585191;-0,00148268956699546
"Gm12713";-0,000883734793043039;0,00357634843321116;0,000761675842255849;-0,00692666522404748;-0,000587853125866655;-0,0012492623153168;-0,0169864847912168;1,59460411614507e-07;-0,00636681932345508;0,00714951572735634;0,00533993038312947;0,00502937991970749;-0,0160559463694713;0,0735111805846754;0,0201983153759469;0,00877170059354494
"Vmn1r80";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mest";0,156319521870741;-0,19169556775573;-0,24965952127739;-0,109086284587859;-0,0585774056472556;-0,235794754118768;0,136384471927321;-0,420547739049977;-0,147466749914792;-0,141122826217089;-0,131152109900551;0,0697895995774174;0,143100624235539;-0,0425724428033625;0,0807480025772373;-0,0390241900337201
"Kif17";-0,0711101685359642;-0,0368431319461245;0,00649718934217029;-0,0789645058928022;0,0390134581809393;0,0871289728119649;-0,0528246937810814;-0,0495612041975028;-0,0331030271559207;-0,0930653383818705;-0,040810240604279;0,125813757361038;0,0654738608511671;-0,0450160431398809;-0,0833128056071318;0,0264296559132501
"Gm7289";0,00266409570942812;-0,00302758734850154;-0,000151931317043905;-0,00333229503888038;0,00138770263911492;-0,0132542025767485;-0,00517569663567489;0,0201210103651673;0,0067500707185046;-0,0112409307072815;-0,0489077521134242;-0,0150671736321527;0,00208138751955763;-0,0374206140102021;-0,0493350793720727;-0,00130627595936841
